geocodigo,edad,poblacion
03302072024,0 a 5,0
03302072025,0 a 5,0
03302072031,0 a 5,0
03302072034,0 a 5,21
03302072901,0 a 5,0
03302082006,0 a 5,0
03302082025,0 a 5,0
03302082901,0 a 5,7
03302092001,0 a 5,0
03302092004,0 a 5,0
03302092013,0 a 5,0
03302092033,0 a 5,0
03302092901,0 a 5,0
03302102010,0 a 5,0
03302102019,0 a 5,0
03302102027,0 a 5,0
03302102030,0 a 5,10
03302102901,0 a 5,0
03302112012,0 a 5,0
03302112015,0 a 5,8
03302112901,0 a 5,0
03302122023,0 a 5,0
03302992999,0 a 5,0
03303012001,0 a 5,0
03303021001,0 a 5,210
03303021002,0 a 5,96
03303022004,0 a 5,0
03303022005,0 a 5,17
03303022007,0 a 5,0
03303022008,0 a 5,65
03303022009,0 a 5,27
03303022011,0 a 5,0
03303022012,0 a 5,0
03303022013,0 a 5,0
03303032006,0 a 5,0
03303032010,0 a 5,0
03303042002,0 a 5,13
03303042003,0 a 5,16
03303991999,0 a 5,0
03304011001,0 a 5,52
03304011002,0 a 5,61
03304011003,0 a 5,262
03304011004,0 a 5,63
03304012006,0 a 5,0
03304012009,0 a 5,9
03304012011,0 a 5,0
03304012017,0 a 5,0
03304012025,0 a 5,0
03304012029,0 a 5,0
03304012030,0 a 5,0
03304012901,0 a 5,14
03304022002,0 a 5,0
03304022003,0 a 5,0
03304022005,0 a 5,10
03304022007,0 a 5,19
03304022014,0 a 5,0
03304022016,0 a 5,6
03304022019,0 a 5,0
03304022020,0 a 5,0
03304022022,0 a 5,0
03304022026,0 a 5,0
03304022027,0 a 5,0
03304022901,0 a 5,5
03304991999,0 a 5,15
04101011001,0 a 5,4
04101021001,0 a 5,128
04101021002,0 a 5,191
04101021003,0 a 5,95
04101021004,0 a 5,385
04101021005,0 a 5,117
04101022001,0 a 5,94
04101031001,0 a 5,273
04101031002,0 a 5,103
04101031003,0 a 5,241
04101041001,0 a 5,78
04101041002,0 a 5,66
04101041003,0 a 5,294
04101041004,0 a 5,113
04101041005,0 a 5,35
04101041006,0 a 5,41
04101051001,0 a 5,61
04101051002,0 a 5,132
04101051003,0 a 5,88
04101051004,0 a 5,155
04101051005,0 a 5,314
04101051006,0 a 5,222
04101051007,0 a 5,144
04101051008,0 a 5,264
04101051009,0 a 5,336
04101051010,0 a 5,226
04101051011,0 a 5,235
04101052007,0 a 5,0
04101061001,0 a 5,258
04101061002,0 a 5,237
04101061003,0 a 5,336
04101061004,0 a 5,603
04101061005,0 a 5,5
04101062001,0 a 5,35
04101062004,0 a 5,59
04101062006,0 a 5,20
04101062024,0 a 5,46
04101062030,0 a 5,0
04101062049,0 a 5,8
04101062901,0 a 5,22
04101071001,0 a 5,79
04101072002,0 a 5,22
04101072027,0 a 5,28
04101072029,0 a 5,0
04101072051,0 a 5,13
04101072053,0 a 5,0
04101072054,0 a 5,9
04101082011,0 a 5,19
04101082018,0 a 5,28
04101082021,0 a 5,55
04101082022,0 a 5,0
04101082023,0 a 5,64
04101082029,0 a 5,15
04101082043,0 a 5,0
04101082051,0 a 5,0
04101082052,0 a 5,7
04101082901,0 a 5,0
04101091001,0 a 5,92
04101092003,0 a 5,56
04101092009,0 a 5,14
04101092034,0 a 5,0
04101092038,0 a 5,27
04101092039,0 a 5,0
04101092901,0 a 5,6
04101102003,0 a 5,4
04101102013,0 a 5,72
04101102015,0 a 5,0
04101102020,0 a 5,212
04101102032,0 a 5,0
04101102035,0 a 5,0
04101102041,0 a 5,0
04101102901,0 a 5,0
04101112010,0 a 5,0
04101122010,0 a 5,0
04101122901,0 a 5,0
04101132025,0 a 5,105
04101132032,0 a 5,83
04101132046,0 a 5,5
04101132048,0 a 5,0
04101132050,0 a 5,0
04101132055,0 a 5,0
04101132901,0 a 5,0
04101141001,0 a 5,190
04101141002,0 a 5,150
04101141003,0 a 5,316
04101141004,0 a 5,251
04101141005,0 a 5,562
04101141006,0 a 5,156
04101142008,0 a 5,0
04101142012,0 a 5,28
04101142014,0 a 5,0
04101142019,0 a 5,8
04101142026,0 a 5,0
04101142030,0 a 5,19
04101142033,0 a 5,0
04101142036,0 a 5,19
04101142040,0 a 5,6
04101142056,0 a 5,50
04101142057,0 a 5,0
04101142901,0 a 5,18
04101151001,0 a 5,258
04101151002,0 a 5,43
04101151003,0 a 5,56
04101151004,0 a 5,73
04101151005,0 a 5,126
04101151006,0 a 5,243
04101161001,0 a 5,440
04101161002,0 a 5,328
04101161003,0 a 5,266
04101161004,0 a 5,473
04101161005,0 a 5,331
04101161006,0 a 5,337
04101161007,0 a 5,470
04101161008,0 a 5,322
04101161009,0 a 5,354
04101161010,0 a 5,291
04101162030,0 a 5,0
04101171001,0 a 5,179
04101171002,0 a 5,217
04101171003,0 a 5,407
04101171004,0 a 5,307
04101171005,0 a 5,319
04101172030,0 a 5,0
04101991999,0 a 5,43
04102011001,0 a 5,654
04102011002,0 a 5,133
04102021001,0 a 5,406
04102021002,0 a 5,177
04102021003,0 a 5,131
04102021004,0 a 5,316
04102021005,0 a 5,121
04102021006,0 a 5,284
04102031001,0 a 5,56
04102031002,0 a 5,104
04102031003,0 a 5,60
04102031004,0 a 5,181
04102041001,0 a 5,90
04102041002,0 a 5,100
04102051001,0 a 5,316
04102051002,0 a 5,445
04102051003,0 a 5,333
04102051004,0 a 5,0
04102051005,0 a 5,260
04102051006,0 a 5,313
04102051007,0 a 5,196
04102051008,0 a 5,194
04102061001,0 a 5,236
04102061002,0 a 5,497
04102061003,0 a 5,43
04102061004,0 a 5,313
04102061005,0 a 5,619
04102061006,0 a 5,333
04102062009,0 a 5,45
04102062014,0 a 5,7
04102062024,0 a 5,418
04102062901,0 a 5,10
04102072002,0 a 5,71
04102072005,0 a 5,10
04102072011,0 a 5,0
04102072015,0 a 5,4
04102072021,0 a 5,6
04102072023,0 a 5,59
04102072024,0 a 5,194
04102081001,0 a 5,95
04102081002,0 a 5,209
04102082004,0 a 5,22
04102082006,0 a 5,0
04102082007,0 a 5,0
04102082016,0 a 5,0
04102082020,0 a 5,0
04102082032,0 a 5,28
04102082901,0 a 5,7
04102091001,0 a 5,91
04102091002,0 a 5,203
04102091003,0 a 5,155
04102091004,0 a 5,198
04102091005,0 a 5,244
04102091006,0 a 5,169
04102091007,0 a 5,574
04102091008,0 a 5,454
04102092026,0 a 5,8
04102101001,0 a 5,27
04102102003,0 a 5,0
04102102010,0 a 5,0
04102102901,0 a 5,0
04102112006,0 a 5,0
04102112017,0 a 5,71
04102112025,0 a 5,11
04102112029,0 a 5,93
04102112901,0 a 5,0
04102122018,0 a 5,36
04102132001,0 a 5,0
04102142012,0 a 5,24
04102151001,0 a 5,30
04102151002,0 a 5,322
04102152001,0 a 5,0
04102152012,0 a 5,0
04102152030,0 a 5,0
04102161001,0 a 5,114
04102162012,0 a 5,0
04102162013,0 a 5,13
04102162901,0 a 5,0
04102171001,0 a 5,229
04102171002,0 a 5,281
04102171003,0 a 5,404
